world_id,scene_id,object_id_a,object_id_b,_object_name_a,_object_name_b,boundary_sharpness,minimum_boundary_distance,minimum_boundary_distance_is_metric,surface_normal_consistency,relative_height,depth_gradient,overlap_ratio,edge_continuity,occlusion_boundary_score,ground_truth_relation
world6_dense_mixed,world6_dense_mixed__v6,2,4,obj_mug,obj_cereal_box,,0.002025402523035631,True,0.9431885003292191,-0.09948700235281649,,0.09599720735396788,1.0,0.5842105263157895,Separate
world6_dense_mixed,world6_dense_mixed__v6,5,12,obj_tissue_box,obj_ruler,0.09614871442317963,0.002025402523035631,True,0.91266879947464,-0.016733439461009803,0.03745107725262642,0.3641540130151844,0.5117370892018779,0.8741905642923219,Support
world6_dense_mixed,world6_dense_mixed__v6,6,7,obj_bowl,obj_apple,0.11150018870830536,0.002835563483960524,True,0.9276459664103669,-0.00017872681588371186,0.035307906568050385,0.025167785234899327,0.6666666666666666,0.027559055118110187,Contact
world6_dense_mixed,world6_dense_mixed__v6,6,12,obj_bowl,obj_ruler,0.09953265637159348,0.002025402523035631,True,0.36435371350894435,-0.00897568989788533,0.03661078214645386,0.1764233241505969,0.5510204081632653,0.012658227848101222,Support
world6_dense_mixed,world6_dense_mixed__v6,7,12,obj_apple,obj_ruler,0.09698840230703354,0.002025402523035631,True,0.6408170900740398,-0.008796963082001619,0.03335081785917282,0.006232354977893784,0.8461538461538461,0.8455882352941176,Separate
world6_dense_mixed,world6_dense_mixed__v6,9,10,obj_notebook,obj_remote,0.03817816078662872,0.002025402523035631,True,0.9762301750089485,-0.01047207643697523,0.013151278719305992,0.3237410071942446,1.0,0.2925598991172762,Support
world6_dense_mixed,world6_dense_mixed__v6,9,11,obj_notebook,obj_pen,0.03418309986591339,0.002025402523035631,True,0.9127057840707427,-0.0059236418265620205,0.013011688366532326,0.1014162265962554,1.0,0.6234198270126414,Support
world6_dense_mixed,world6_dense_mixed__v6,13,14,obj_plate,obj_spoon,0.02534281276166439,0.002025402523035631,True,0.9999801231919252,-0.0062924383847575704,0.007264622952789068,0.2868942267172356,1.0,0.03752759381898452,Support
world6_dense_mixed,world6_dense_mixed__v6,13,15,obj_plate,obj_fork,0.02524126134812832,0.002025402523035631,True,0.9879817632917138,0.02594025081154494,0.007139057852327824,0.02521869335645047,1.0,1.0,Contact
world6_dense_mixed,world6_dense_mixed__v6,13,16,obj_plate,obj_knife,0.025484425947070122,0.002025402523035631,True,0.9902258082863868,-0.021574671856328553,0.006981314159929752,0.020227560050568902,1.0,0.6918714555765595,Contact
