world_id,scene_id,object_id_a,object_id_b,_object_name_a,_object_name_b,boundary_sharpness,minimum_boundary_distance,minimum_boundary_distance_is_metric,surface_normal_consistency,relative_height,depth_gradient,overlap_ratio,edge_continuity,occlusion_boundary_score,ground_truth_relation
world4_support_scene,world4_support_scene__v3,1,2,obj_cereal_box,obj_tissue_box,,0.0033588431337884896,True,0.9113172008261949,0.15423136380697244,,0.05153438537238689,1.0,0.8131962296486719,Contact
world4_support_scene,world4_support_scene__v3,1,8,obj_cereal_box,obj_plate,,0.0033588431337884896,True,0.438143896839346,0.22200995831484371,,0.02367175170962651,1.0,0.9026629935720845,Separate
world4_support_scene,world4_support_scene__v3,1,12,obj_cereal_box,obj_sponge,,0.0033588431337884896,True,0.8252763179750899,0.09649928370370386,,0.008521751082399835,1.0,0.8905109489051095,Separate
world4_support_scene,world4_support_scene__v3,1,15,obj_cereal_box,obj_container,,0.0033588431337884896,True,0.9979472336500695,0.14496108049370537,,0.013457742687959805,1.0,0.8159509202453987,Separate
world4_support_scene,world4_support_scene__v3,3,4,obj_storage_box,obj_wooden_crate,,0.0033588431337884896,True,0.9898519043927082,-0.0007172318633087427,,0.0791022522169034,1.0,1.0,Separate
world4_support_scene,world4_support_scene__v3,3,5,obj_storage_box,obj_bottle,,0.0033588431337884896,True,0.7053309467668301,-0.14222605181227432,,0.10820747217806041,1.0,0.7885375494071146,Separate
world4_support_scene,world4_support_scene__v3,3,13,obj_storage_box,obj_can,,0.0033588431337884896,True,0.9060512175128685,-0.09394194147736135,,0.09216384683882457,1.0,0.5530085959885387,Separate
world4_support_scene,world4_support_scene__v3,4,5,obj_wooden_crate,obj_bottle,,0.0033588431337884896,True,0.6834609975167039,-0.14150881994896558,,0.1476932424807951,1.0,0.8981406628940987,Separate
world4_support_scene,world4_support_scene__v3,6,15,obj_mug,obj_container,0.21971072256565094,0.0033588431337884896,True,0.9850248778968214,0.018828052769839676,0.05944066494703293,0.08240396530359356,1.0,0.36423841059602646,Contact
world4_support_scene,world4_support_scene__v3,7,8,obj_bowl,obj_plate,,0.0033588431337884896,True,0.9142045417405997,0.05016785535055335,,0.36363636363636365,1.0,0.041353383458646586,Support
world4_support_scene,world4_support_scene__v3,8,9,obj_plate,obj_notebook,0.13737808167934418,0.0033588431337884896,True,0.9970709345042947,-0.006720995548722297,0.04989837110042572,0.06723291035611953,1.0,1.0,Contact
world4_support_scene,world4_support_scene__v3,8,11,obj_plate,obj_toy_cube,0.1524665355682373,0.0033588431337884896,True,0.5934123598941083,-0.044498038179498045,0.06260927021503448,0.06964727027634239,1.0,0.8024263431542461,Separate
world4_support_scene,world4_support_scene__v3,9,10,obj_notebook,obj_book,0.08867702633142471,0.009404760614445649,True,0.9732076874681949,-0.03461697145741938,0.02939116768538952,0.019563090968373,,1.0,Contact
world4_support_scene,world4_support_scene__v3,9,11,obj_notebook,obj_toy_cube,0.11645151674747467,0.0033588431337884896,True,0.646240557823252,-0.03777704263077575,0.04109182208776474,0.15920763022743947,1.0,0.190876350540216,Support
world4_support_scene,world4_support_scene__v3,9,14,obj_notebook,obj_glass_jar,0.17515593767166138,0.0033588431337884896,True,0.6921816583508722,-0.11634970761533081,0.04252618923783302,0.10332068311195446,1.0,0.7493472584856398,Separate
world4_support_scene,world4_support_scene__v3,10,14,obj_book,obj_glass_jar,0.13422411680221558,0.0033588431337884896,True,0.8395042090120928,-0.08173273615791143,0.032109130173921585,0.2445808981282829,1.0,0.0721991701244813,Support
world4_support_scene,world4_support_scene__v3,12,15,obj_sponge,obj_container,0.25835689902305603,0.0033588431337884896,True,0.7914668094676407,0.04846179679000151,0.07386770844459534,0.22972116603295312,1.0,0.13291139240506333,Support
