world_id,scene_id,object_id_a,object_id_b,_object_name_a,_object_name_b,boundary_sharpness,minimum_boundary_distance,minimum_boundary_distance_is_metric,surface_normal_consistency,relative_height,depth_gradient,overlap_ratio,edge_continuity,occlusion_boundary_score,ground_truth_relation
world5_occlusion_scene,world5_occlusion_scene__v3,1,2,obj_cereal_box,obj_bottle,,0.0031836278481765685,True,0.803199637959993,-0.023284376583927235,,0.09505376344086021,1.0,0.26530612244897955,Separate
world5_occlusion_scene,world5_occlusion_scene__v3,2,3,obj_bottle,obj_jar,,0.0031836278481765685,True,0.9789355697790127,0.07855238715436397,,0.21159302796919335,1.0,0.5432098765432098,Contact
world5_occlusion_scene,world5_occlusion_scene__v3,4,5,obj_tissue_box,obj_cup,,0.0031836278481765685,True,0.4069991648957837,-0.00859909732687647,,0.007633587786259542,1.0,0.7174721189591078,Contact
world5_occlusion_scene,world5_occlusion_scene__v3,6,7,obj_bowl,obj_apple,0.20286783576011658,0.0031836278481765685,True,0.8322304304300543,0.014945687443070454,0.04312824085354805,0.01972615456022279,1.0,0.3293413173652695,Contact
world5_occlusion_scene,world5_occlusion_scene__v3,6,8,obj_bowl,obj_can,,0.0031836278481765685,True,0.9555051643466785,-0.028985907837264735,,0.013744075829383886,1.0,0.9361702127659575,Contact
world5_occlusion_scene,world5_occlusion_scene__v3,6,13,obj_bowl,obj_mug,0.19002699851989746,0.0031836278481765685,True,0.8498484108012648,0.0036025842564478827,0.040426068007946014,0.05318943919830411,1.0,0.7049645390070922,Separate
world5_occlusion_scene,world5_occlusion_scene__v3,9,10,obj_remote,obj_notebook,0.04516510292887688,0.0031836278481765685,True,0.044089839270766096,0.012820982848233298,0.03080551140010357,0.07041676901662164,1.0,1.0,Contact
world5_occlusion_scene,world5_occlusion_scene__v3,9,11,obj_remote,obj_book,0.0629882961511612,0.0031836278481765685,True,0.9584306967483123,-0.0036561597713987704,0.022773703560233116,0.04930164686262247,1.0,1.0,Support
world5_occlusion_scene,world5_occlusion_scene__v3,10,11,obj_notebook,obj_book,0.060309965163469315,0.0031836278481765685,True,0.22759943477109632,-0.016477142619632068,0.02631933055818081,0.745814307458143,0.9920255183413078,0.20505992010652463,Contact
world5_occlusion_scene,world5_occlusion_scene__v3,12,13,obj_plate,obj_mug,0.09020595252513885,0.012734511392706274,True,0.626957864386303,-0.06091742391432253,0.023857252672314644,0.0,,0.11550151975683887,Contact
world5_occlusion_scene,world5_occlusion_scene__v3,13,14,obj_mug,obj_sponge,0.112053282558918,0.0031836278481765685,True,0.8613893174535534,0.03778279321853317,0.03094463050365448,0.033800652967159596,1.0,0.9955156950672646,Separate
world5_occlusion_scene,world5_occlusion_scene__v3,14,15,obj_sponge,obj_container,0.06231681630015373,0.0031836278481765685,True,0.8459779083787218,-0.04152249179972256,0.02205931395292282,0.0206024660527548,1.0,0.23486682808716708,Contact
world5_occlusion_scene,world5_occlusion_scene__v3,15,16,obj_container,obj_toy,0.12505483627319336,0.0031836278481765685,True,0.9778430283369479,-0.03615451519135815,0.0331927165389061,0.136,1.0,0.24207011686143576,Support
world5_occlusion_scene,world5_occlusion_scene__v3,15,17,obj_container,obj_banana,0.08804195374250412,0.0031836278481765685,True,0.9598384483366325,0.04200814395961028,0.029561622068285942,0.3090909090909091,0.7238805970149254,0.6258278145695364,Contact
world5_occlusion_scene,world5_occlusion_scene__v3,16,17,obj_toy,obj_banana,0.16721050441265106,0.0031836278481765685,True,0.9667027872899835,0.07816265915096843,0.05847330018877983,0.2641509433962264,0.9090909090909091,0.8538205980066444,Separate
