world_id,object_a,object_b,contact,num_contact_points
world3_thin_objects,obj_bottle,obj_cable,0,0
world3_thin_objects,obj_bottle,obj_chopstick_a,0,0
world3_thin_objects,obj_bottle,obj_chopstick_b,0,0
world3_thin_objects,obj_bottle,obj_fork,0,0
world3_thin_objects,obj_bottle,obj_knife,0,0
world3_thin_objects,obj_bottle,obj_mug,0,0
world3_thin_objects,obj_bottle,obj_notebook,0,0
world3_thin_objects,obj_bottle,obj_pen,0,0
world3_thin_objects,obj_bottle,obj_pencil,0,0
world3_thin_objects,obj_bottle,obj_plate,1,1
world3_thin_objects,obj_bottle,obj_ruler,0,0
world3_thin_objects,obj_bottle,obj_spoon,0,0
world3_thin_objects,obj_bottle,obj_straw,0,0
world3_thin_objects,obj_bottle,obj_toothbrush,0,0
world3_thin_objects,obj_cable,obj_chopstick_a,0,0
world3_thin_objects,obj_cable,obj_chopstick_b,0,0
world3_thin_objects,obj_cable,obj_fork,0,0
world3_thin_objects,obj_cable,obj_knife,0,0
world3_thin_objects,obj_cable,obj_mug,0,0
world3_thin_objects,obj_cable,obj_notebook,0,0
world3_thin_objects,obj_cable,obj_pen,0,0
world3_thin_objects,obj_cable,obj_pencil,0,0
world3_thin_objects,obj_cable,obj_plate,1,5
world3_thin_objects,obj_cable,obj_ruler,1,1
world3_thin_objects,obj_cable,obj_spoon,0,0
world3_thin_objects,obj_cable,obj_straw,0,0
world3_thin_objects,obj_cable,obj_toothbrush,0,0
world3_thin_objects,obj_chopstick_a,obj_chopstick_b,0,0
world3_thin_objects,obj_chopstick_a,obj_fork,0,0
world3_thin_objects,obj_chopstick_a,obj_knife,0,0
world3_thin_objects,obj_chopstick_a,obj_mug,0,0
world3_thin_objects,obj_chopstick_a,obj_notebook,0,0
world3_thin_objects,obj_chopstick_a,obj_pen,0,0
world3_thin_objects,obj_chopstick_a,obj_pencil,0,0
world3_thin_objects,obj_chopstick_a,obj_plate,0,0
world3_thin_objects,obj_chopstick_a,obj_ruler,0,0
world3_thin_objects,obj_chopstick_a,obj_spoon,0,0
world3_thin_objects,obj_chopstick_a,obj_straw,0,0
world3_thin_objects,obj_chopstick_a,obj_toothbrush,0,0
world3_thin_objects,obj_chopstick_b,obj_fork,0,0
world3_thin_objects,obj_chopstick_b,obj_knife,0,0
world3_thin_objects,obj_chopstick_b,obj_mug,0,0
world3_thin_objects,obj_chopstick_b,obj_notebook,0,0
world3_thin_objects,obj_chopstick_b,obj_pen,0,0
world3_thin_objects,obj_chopstick_b,obj_pencil,0,0
world3_thin_objects,obj_chopstick_b,obj_plate,0,0
world3_thin_objects,obj_chopstick_b,obj_ruler,0,0
world3_thin_objects,obj_chopstick_b,obj_spoon,0,0
world3_thin_objects,obj_chopstick_b,obj_straw,0,0
world3_thin_objects,obj_chopstick_b,obj_toothbrush,0,0
world3_thin_objects,obj_fork,obj_knife,0,0
world3_thin_objects,obj_fork,obj_mug,0,0
world3_thin_objects,obj_fork,obj_notebook,0,0
world3_thin_objects,obj_fork,obj_pen,0,0
world3_thin_objects,obj_fork,obj_pencil,0,0
world3_thin_objects,obj_fork,obj_plate,0,0
world3_thin_objects,obj_fork,obj_ruler,1,4
world3_thin_objects,obj_fork,obj_spoon,0,0
world3_thin_objects,obj_fork,obj_straw,0,0
world3_thin_objects,obj_fork,obj_toothbrush,0,0
world3_thin_objects,obj_knife,obj_mug,0,0
world3_thin_objects,obj_knife,obj_notebook,0,0
world3_thin_objects,obj_knife,obj_pen,0,0
world3_thin_objects,obj_knife,obj_pencil,0,0
world3_thin_objects,obj_knife,obj_plate,0,0
world3_thin_objects,obj_knife,obj_ruler,0,0
world3_thin_objects,obj_knife,obj_spoon,1,4
world3_thin_objects,obj_knife,obj_straw,0,0
world3_thin_objects,obj_knife,obj_toothbrush,0,0
world3_thin_objects,obj_mug,obj_notebook,0,0
world3_thin_objects,obj_mug,obj_pen,0,0
world3_thin_objects,obj_mug,obj_pencil,0,0
world3_thin_objects,obj_mug,obj_plate,0,0
world3_thin_objects,obj_mug,obj_ruler,0,0
world3_thin_objects,obj_mug,obj_spoon,0,0
world3_thin_objects,obj_mug,obj_straw,0,0
world3_thin_objects,obj_mug,obj_toothbrush,0,0
world3_thin_objects,obj_notebook,obj_pen,1,2
world3_thin_objects,obj_notebook,obj_pencil,0,0
world3_thin_objects,obj_notebook,obj_plate,0,0
world3_thin_objects,obj_notebook,obj_ruler,0,0
world3_thin_objects,obj_notebook,obj_spoon,0,0
world3_thin_objects,obj_notebook,obj_straw,0,0
world3_thin_objects,obj_notebook,obj_toothbrush,0,0
world3_thin_objects,obj_pen,obj_pencil,0,0
world3_thin_objects,obj_pen,obj_plate,0,0
world3_thin_objects,obj_pen,obj_ruler,0,0
world3_thin_objects,obj_pen,obj_spoon,0,0
world3_thin_objects,obj_pen,obj_straw,0,0
world3_thin_objects,obj_pen,obj_toothbrush,0,0
world3_thin_objects,obj_pencil,obj_plate,0,0
world3_thin_objects,obj_pencil,obj_ruler,0,0
world3_thin_objects,obj_pencil,obj_spoon,0,0
world3_thin_objects,obj_pencil,obj_straw,0,0
world3_thin_objects,obj_pencil,obj_toothbrush,0,0
world3_thin_objects,obj_plate,obj_ruler,1,5
world3_thin_objects,obj_plate,obj_spoon,0,0
world3_thin_objects,obj_plate,obj_straw,0,0
world3_thin_objects,obj_plate,obj_toothbrush,0,0
world3_thin_objects,obj_ruler,obj_spoon,0,0
world3_thin_objects,obj_ruler,obj_straw,0,0
world3_thin_objects,obj_ruler,obj_toothbrush,0,0
world3_thin_objects,obj_spoon,obj_straw,0,0
world3_thin_objects,obj_spoon,obj_toothbrush,0,0
world3_thin_objects,obj_straw,obj_toothbrush,0,0
