world_id,object_a,object_b,contact,num_contact_points
world5_occlusion_scene,obj_apple,obj_banana,0,0
world5_occlusion_scene,obj_apple,obj_book,0,0
world5_occlusion_scene,obj_apple,obj_bottle,0,0
world5_occlusion_scene,obj_apple,obj_bowl,0,0
world5_occlusion_scene,obj_apple,obj_can,0,0
world5_occlusion_scene,obj_apple,obj_cereal_box,0,0
world5_occlusion_scene,obj_apple,obj_container,0,0
world5_occlusion_scene,obj_apple,obj_cup,0,0
world5_occlusion_scene,obj_apple,obj_jar,0,0
world5_occlusion_scene,obj_apple,obj_mug,0,0
world5_occlusion_scene,obj_apple,obj_notebook,0,0
world5_occlusion_scene,obj_apple,obj_plate,0,0
world5_occlusion_scene,obj_apple,obj_remote,0,0
world5_occlusion_scene,obj_apple,obj_sponge,0,0
world5_occlusion_scene,obj_apple,obj_tissue_box,0,0
world5_occlusion_scene,obj_apple,obj_toy,0,0
world5_occlusion_scene,obj_banana,obj_book,0,0
world5_occlusion_scene,obj_banana,obj_bottle,0,0
world5_occlusion_scene,obj_banana,obj_bowl,0,0
world5_occlusion_scene,obj_banana,obj_can,0,0
world5_occlusion_scene,obj_banana,obj_cereal_box,0,0
world5_occlusion_scene,obj_banana,obj_container,0,0
world5_occlusion_scene,obj_banana,obj_cup,0,0
world5_occlusion_scene,obj_banana,obj_jar,0,0
world5_occlusion_scene,obj_banana,obj_mug,0,0
world5_occlusion_scene,obj_banana,obj_notebook,0,0
world5_occlusion_scene,obj_banana,obj_plate,0,0
world5_occlusion_scene,obj_banana,obj_remote,0,0
world5_occlusion_scene,obj_banana,obj_sponge,0,0
world5_occlusion_scene,obj_banana,obj_tissue_box,0,0
world5_occlusion_scene,obj_banana,obj_toy,0,0
world5_occlusion_scene,obj_book,obj_bottle,0,0
world5_occlusion_scene,obj_book,obj_bowl,0,0
world5_occlusion_scene,obj_book,obj_can,0,0
world5_occlusion_scene,obj_book,obj_cereal_box,0,0
world5_occlusion_scene,obj_book,obj_container,0,0
world5_occlusion_scene,obj_book,obj_cup,0,0
world5_occlusion_scene,obj_book,obj_jar,0,0
world5_occlusion_scene,obj_book,obj_mug,0,0
world5_occlusion_scene,obj_book,obj_notebook,1,4
world5_occlusion_scene,obj_book,obj_plate,0,0
