world_id,scene_id,object_id_a,object_id_b,boundary_sharpness,minimum_boundary_distance,minimum_boundary_distance_is_metric,surface_normal_consistency,relative_height,depth_gradient,overlap_ratio,edge_continuity,occlusion_boundary_score,ground_truth_relation
world6_dense_mixed,world6_dense_mixed__v5,1,2,,0.003411004988401942,True,0.9044427535307931,0.05165834539847791,,0.03413631693115653,1.0,0.7905405405405406,Separate
world6_dense_mixed,world6_dense_mixed__v5,3,4,,0.003411004988401942,True,0.9205245897655586,-0.07646955056426141,,0.06865861411315957,1.0,0.278169014084507,Contact
world6_dense_mixed,world6_dense_mixed__v5,3,9,0.16778752207756042,0.003411004988401942,True,0.5453862245539792,0.07441218871112343,0.06719498336315155,0.01819322459222083,1.0,1.0,Separate
world6_dense_mixed,world6_dense_mixed__v5,3,10,0.20775768160820007,0.003411004988401942,True,0.5805852600000542,0.05746394223277862,0.06971758604049683,0.005759321006365566,1.0,1.0,Separate
world6_dense_mixed,world6_dense_mixed__v5,4,9,,0.003411004988401942,True,0.5822372102597259,0.15088173927538484,,0.07052896725440806,1.0,0.894736842105263,Separate
world6_dense_mixed,world6_dense_mixed__v5,4,10,,0.003411004988401942,True,0.6183425015114683,0.13393349279704003,,0.02276277616603437,1.0,0.7926949654491608,Separate
world6_dense_mixed,world6_dense_mixed__v5,5,8,0.12318658083677292,0.003411004988401942,True,0.631409921893531,0.0552597570478055,0.03800703212618828,0.0054988216810683424,1.0,1.0,Separate
world6_dense_mixed,world6_dense_mixed__v5,5,12,0.13591639697551727,0.003411004988401942,True,0.5194944996040433,-0.03125022431115476,0.04429025948047638,0.1920374707259953,0.5233644859813084,0.4152765583845478,Support
world6_dense_mixed,world6_dense_mixed__v5,6,7,0.11541050672531128,0.003411004988401942,True,0.9910922810189944,0.002106323492758966,0.02912326157093048,0.015574302401038288,1.0,0.5011655011655012,Contact
world6_dense_mixed,world6_dense_mixed__v5,6,12,0.1397990584373474,0.003411004988401942,True,0.44474682460184256,-0.015221919745048385,0.04613799974322319,0.12339124839124839,0.832,0.06425702811244971,Support
world6_dense_mixed,world6_dense_mixed__v5,7,12,0.14086714386940002,0.003411004988401942,True,0.5176390496879509,-0.01732824323780735,0.056308452039957047,0.005074081591231987,1.0,0.6262295081967213,Separate
world6_dense_mixed,world6_dense_mixed__v5,8,12,0.14267253875732422,0.010233014965205825,True,0.8476389701444834,-0.08650998135896026,0.06388203054666519,0.0,,1.0,Separate
world6_dense_mixed,world6_dense_mixed__v5,9,10,0.20763064920902252,0.003411004988401942,True,0.9989630816967684,-0.01694824647834481,0.09671291708946228,0.38452380952380955,1.0,0.2549668874172185,Support
world6_dense_mixed,world6_dense_mixed__v5,13,14,0.04834042862057686,0.003411004988401942,True,0.41604690581704823,-0.009981589592794715,0.03155595809221268,0.3282674772036474,1.0,0.06535141800246613,Support
world6_dense_mixed,world6_dense_mixed__v5,13,15,0.04695329815149307,0.003411004988401942,True,0.7964220582222495,0.019059958802315147,0.030920205637812614,0.0,1.0,0.2536348949919225,Contact
world6_dense_mixed,world6_dense_mixed__v5,13,16,0.04633261635899544,0.003411004988401942,True,0.9051460959889804,-0.01054040919972743,0.030985040590167046,0.002047606859482979,1.0,0.24637681159420288,Contact
