world_id,scene_id,object_id_a,object_id_b,boundary_sharpness,minimum_boundary_distance,minimum_boundary_distance_is_metric,surface_normal_consistency,relative_height,depth_gradient,overlap_ratio,edge_continuity,occlusion_boundary_score,ground_truth_relation
world5_occlusion_scene,world5_occlusion_scene,1,2,0.3443625569343567,0.0020398452309288518,True,0.9900877581196315,-0.018475367266133746,0.05416535958647728,0.04891564616542382,1.0,0.08424908424908417,Separate
world5_occlusion_scene,world5_occlusion_scene,2,3,0.26834914088249207,0.0020398452309288518,True,0.9427175663040555,0.07943207945401143,0.06950955092906952,0.2709677419354839,1.0,0.040564373897707284,Contact
world5_occlusion_scene,world5_occlusion_scene,4,5,0.1736258566379547,0.0020398452309288518,True,0.9827163788981373,0.0017448220748842447,0.03209930658340454,0.02102803738317757,1.0,0.34432234432234443,Contact
world5_occlusion_scene,world5_occlusion_scene,6,7,0.14612706005573273,0.0020398452309288518,True,0.358593001662889,-0.01849998564481592,0.01720108836889267,0.03281622911694511,1.0,0.3081924577373212,Contact
world5_occlusion_scene,world5_occlusion_scene,6,8,0.16323357820510864,0.0020398452309288518,True,0.9533488304472513,-0.05619741528801081,0.019279152154922485,0.017292490118577076,1.0,0.24742268041237114,Contact
world5_occlusion_scene,world5_occlusion_scene,9,11,0.0783432126045227,0.0020398452309288518,True,0.9902711639579319,-0.009239638029229225,0.010328301228582859,0.05080182605642046,1.0,0.43096234309623427,Support
world5_occlusion_scene,world5_occlusion_scene,10,11,0.06358909606933594,0.0020398452309288518,True,0.9901551675369724,-0.014367756369477624,0.011252222582697868,0.5619047619047619,1.0,0.5,Contact
world5_occlusion_scene,world5_occlusion_scene,12,13,0.0725158229470253,0.006119535692786555,True,0.9983834545097201,-0.0926572092500263,0.008068922907114029,0.0,,1.0,Contact
world5_occlusion_scene,world5_occlusion_scene,13,14,0.12239985913038254,0.0020398452309288518,True,0.9940691260776499,0.04805852139248934,0.028727492317557335,0.008104575163398693,1.0,0.2886297376093294,Separate
world5_occlusion_scene,world5_occlusion_scene,13,17,0.11535965651273727,0.0040796904618577035,True,0.9773321363728182,0.029302676490760238,0.030223749577999115,0.0,,0.4817275747508305,Separate
world5_occlusion_scene,world5_occlusion_scene,14,15,0.10263843834400177,0.0020398452309288518,True,0.9632783562563699,-0.06201625317968151,0.032540738582611084,0.018086816720257234,1.0,1.0,Contact
world5_occlusion_scene,world5_occlusion_scene,15,16,0.10771671682596207,0.0020398452309288518,True,0.9921892637599421,-0.03818707020115808,0.040795791894197464,0.41830065359477125,1.0,0.5431818181818182,Support
world5_occlusion_scene,world5_occlusion_scene,15,17,0.09974215924739838,0.0020398452309288518,True,0.9355901332032555,0.04326040827795241,0.03390861302614212,0.02630005977286312,1.0,0.7388809182209468,Contact
world5_occlusion_scene,world5_occlusion_scene,16,17,0.07821625471115112,0.0040796904618577035,True,0.9692510316921065,0.08144747847911049,0.02367529273033142,0.0,,1.0,Separate
