world_id,scene_id,object_a,object_b,heuristic_label,gazebo_contact,boundary_sharpness,minimum_boundary_distance,minimum_boundary_distance_is_metric,surface_normal_consistency,relative_height,depth_gradient,overlap_ratio,edge_continuity,occlusion_boundary_score
world1_baseline,world1_baseline__v2,obj_bottle,obj_mug,Separate,0,,0.0037041257712789,True,0.9508477674388548,0.0915190247652228,,0.1824065901735804,1.0,0.345707656612529
world1_baseline,world1_baseline__v2,obj_bowl,obj_apple,Contact,0,0.1507859826087951,0.0037041257712789,True,0.98881386487809,0.0133372522008051,0.0364319868385791,0.0093943139678615,1.0,0.95
world1_baseline,world1_baseline__v2,obj_cereal_box,obj_toy_block,Separate,0,0.3183047175407409,0.0037041257712789,True,0.6312503253921289,0.1598510478779262,0.0388618893921375,0.0454904438477333,1.0,0.8501440922190202
world1_baseline,world1_baseline__v2,obj_notebook,obj_remote,Support,1,0.04837616533041,0.0037041257712789,True,0.9785156074938148,-0.0143852805162638,0.0242377519607543,0.3168552709946396,1.0,0.0257575757575758
world1_baseline,world1_baseline__v3,obj_bowl,obj_apple,Contact,0,,0.0032703689641894,True,0.993792013230758,0.0203144513292092,,0.0,1.0,0.8263888888888888
world1_baseline,world1_baseline__v3,obj_bowl,obj_tissue_box,Separate,0,,0.0032703689641894,True,0.9844966093957892,-0.0084180466931709,,0.0205647135629182,1.0,0.8164556962025317
world1_baseline,world1_baseline__v3,obj_spoon,obj_cereal_box,Separate,0,,0.0032703689641894,True,0.5634551489367291,-0.1642043539463612,,0.002008032128514,1.0,1.0
world1_baseline,world1_baseline__v3,obj_notebook,obj_remote,Support,1,0.0445322841405868,0.0032703689641894,True,0.9906475159258724,-0.0046741002164667,0.0198759492486715,0.3122270742358078,1.0,0.1607943625880845
world1_baseline,world1_baseline__v4,obj_bottle,obj_mug,Separate,0,0.2044560462236404,0.0037041267907222,True,0.9463097311131686,0.0982257050765079,0.0440358705818653,0.1867219917012448,1.0,0.4856230031948882
world1_baseline,world1_baseline__v4,obj_bowl,obj_apple,Contact,0,0.1663322746753692,0.0037041267907222,True,0.6470173067668725,0.0178798845832915,0.0459533780813217,0.0908402725208175,1.0,0.6944444444444444
world1_baseline,world1_baseline__v4,obj_apple,obj_spoon,Separate,0,0.098112367093563,0.0162751914848325,True,0.8663351715092589,0.0491826286790405,0.0520970523357391,0.0,,1.0
world1_baseline,world1_baseline__v4,obj_notebook,obj_remote,Support,1,0.0427448824048042,0.0037041267907222,True,0.984325108373934,-0.0064115767259748,0.0170800611376762,0.3157258064516129,1.0,0.1922544951590594
world1_baseline,world1_baseline__v5,obj_bottle,obj_plate,Separate,0,,0.0031487965294246,True,0.3303159438055964,0.1293392208671827,,0.0876232201533406,1.0,0.9152798789712556
world1_baseline,world1_baseline__v5,obj_mug,obj_plate,Separate,0,0.1535228341817855,0.0031487965294246,True,0.6262867279860934,0.067312740145227,0.0370666719973087,0.0123239436619718,1.0,1.0
world1_baseline,world1_baseline__v5,obj_bowl,obj_apple,Contact,0,0.1683091670274734,0.0031487965294246,True,0.9972588439962602,0.0107792386841197,0.0361809320747852,0.0,1.0,0.5343137254901962
world1_baseline,world1_baseline__v5,obj_bowl,obj_tissue_box,Separate,0,0.2023365348577499,0.0062975930588493,True,0.9486824674635006,0.0055558993808579,0.0386061295866966,0.0129093951709299,,0.9786666666666666
world1_baseline,world1_baseline__v5,obj_tissue_box,obj_notebook,Separate,0,,0.0031487965294246,True,0.6423472673972772,0.0639312797566223,,0.0540198354083139,0.7317073170731707,1.0
world1_baseline,world1_baseline__v5,obj_tissue_box,obj_remote,Separate,0,0.1684028059244156,0.0031487965294246,True,0.712780329710741,0.045541596185941,0.040355060249567,0.0097175827512906,0.8,1.0
world1_baseline,world1_baseline__v5,obj_notebook,obj_remote,Support,1,,0.0031487965294246,True,0.9818477892314666,-0.0183896835706813,,0.3155737704918033,1.0,0.0147058823529411
world1_baseline,world1_baseline__v6,obj_bottle,obj_mug,Separate,0,,0.0021098465784643,True,0.899641604662768,0.0820089617389401,,0.0352558895207148,1.0,0.4458715596330276
world1_baseline,world1_baseline__v6,obj_bowl,obj_apple,Contact,0,0.1482561528682708,0.0029537851595474,True,0.9969054880495308,0.0153354032739416,0.0354986637830734,0.0375903614457831,1.0,0.3074792243767312
world1_baseline,world1_baseline__v6,obj_notebook,obj_remote,Support,1,0.0441488325595855,0.0021098465784643,True,0.994554934226459,-0.006742756839127,0.012252721004188,0.3553062178588125,1.0,0.0887198986058301
world1_baseline,world1_baseline,obj_bottle,obj_mug,Separate,0,0.2309261411428451,0.0038288108212566,True,0.904385038880167,0.1049308006389031,0.0611616820096969,0.0231072703362765,1.0,0.4852941176470589
world1_baseline,world1_baseline,obj_bowl,obj_apple,Contact,0,0.1396292001008987,0.0038288108212566,True,0.9892457397737622,0.0167764393322462,0.0376985855400562,0.0,1.0,0.7621951219512195
world1_baseline,world1_baseline,obj_notebook,obj_remote,Support,1,0.0451290346682071,0.0038288108212566,True,0.9993326192562204,-0.0123416341035806,0.0088690007105469,0.3071808510638298,1.0,0.4692653673163418
world2_dense_clutter,world2_dense_clutter__v2,obj_mug,obj_tomato,Separate,0,0.1625969409942627,0.0162858542911035,True,0.9989489233820794,0.0397319786529893,0.0478299483656883,0.0,,1.0
world2_dense_clutter,world2_dense_clutter__v2,obj_jar,obj_cereal_box,Separate,0,0.5012913346290588,0.0037065535754645,True,0.6089941768090156,-0.1111410024739169,0.058152187615633,0.0340533177661023,1.0,0.4467005076142132
