trial,condition,object_name,estimated_width_m,estimated_height_m,gt_width_m,gt_height_m,width_error_m,height_error_m,decision,gt_decision,correct,timestamp
1,proposed,obj_bottle,0.4575,0.9166,0.06,0.2,0.3975,0.7166,SKIP,SKIP,True,2026-07-13T10:05:41.663751
2,proposed,obj_bottle,0.4575,0.9166,0.06,0.2,0.3975,0.7166,SKIP,SKIP,True,2026-07-13T10:05:45.309399
3,proposed,obj_bottle,0.4575,0.9166,0.06,0.2,0.3975,0.7166,SKIP,SKIP,True,2026-07-13T10:05:49.164677
4,proposed,obj_bottle,0.4575,0.9166,0.06,0.2,0.3975,0.7166,SKIP,SKIP,True,2026-07-13T10:05:58.539495
5,proposed,obj_bottle,0.4575,0.9166,0.06,0.2,0.3975,0.7166,SKIP,SKIP,True,2026-07-13T10:06:01.248804
6,proposed,obj_bottle,0.4575,0.9166,0.06,0.2,0.3975,0.7166,SKIP,SKIP,True,2026-07-13T10:06:04.015247
7,proposed,obj_bottle,0.4575,0.9166,0.06,0.2,0.3975,0.7166,SKIP,SKIP,True,2026-07-13T10:06:07.146642
8,proposed,obj_bottle,0.4575,0.9166,0.06,0.2,0.3975,0.7166,SKIP,SKIP,True,2026-07-13T10:06:13.696330
9,proposed,obj_bottle,0.4575,0.9166,0.06,0.2,0.3975,0.7166,SKIP,SKIP,True,2026-07-13T10:06:17.433404
10,proposed,obj_bottle,0.4575,0.9166,0.06,0.2,0.3975,0.7166,SKIP,SKIP,True,2026-07-13T10:06:22.725054
11,proposed,obj_bottle,0.4575,0.9166,0.06,0.2,0.3975,0.7166,SKIP,SKIP,True,2026-07-13T10:06:29.148687
12,proposed,obj_bottle,0.4575,0.9166,0.06,0.2,0.3975,0.7166,SKIP,SKIP,True,2026-07-13T10:06:32.625997
13,proposed,obj_bottle,0.4575,0.9166,0.06,0.2,0.3975,0.7166,SKIP,SKIP,True,2026-07-13T10:06:35.564256
14,proposed,obj_bottle,0.4575,0.9166,0.06,0.2,0.3975,0.7166,SKIP,SKIP,True,2026-07-13T10:06:38.482711
15,proposed,obj_bottle,0.4575,0.9166,0.06,0.2,0.3975,0.7166,SKIP,SKIP,True,2026-07-13T10:06:41.305931
16,proposed,obj_bottle,0.4575,0.9166,0.06,0.2,0.3975,0.7166,SKIP,SKIP,True,2026-07-13T10:06:44.844387
17,proposed,obj_bottle,0.4575,0.9166,0.06,0.2,0.3975,0.7166,SKIP,SKIP,True,2026-07-13T10:06:47.850936
18,proposed,obj_bottle,0.4575,0.9166,0.06,0.2,0.3975,0.7166,SKIP,SKIP,True,2026-07-13T10:06:54.336902
19,proposed,obj_bottle,0.4575,0.9166,0.06,0.2,0.3975,0.7166,SKIP,SKIP,True,2026-07-13T10:07:00.370685
20,proposed,obj_bottle,0.4575,0.9166,0.06,0.2,0.3975,0.7166,SKIP,SKIP,True,2026-07-13T10:07:09.463306
