trial,condition,object_name,estimated_width_m,estimated_height_m,gt_width_m,gt_height_m,width_error_m,height_error_m,decision,gt_decision,correct,timestamp
1,baseline,obj_plate,0.5246,0.5966,0.22,0.015,0.3046,0.5816,SKIP,SKIP,True,2026-07-13T10:33:24.119792
2,baseline,obj_plate,0.5246,0.5966,0.22,0.015,0.3046,0.5816,SKIP,SKIP,True,2026-07-13T10:33:39.388661
3,baseline,obj_plate,0.1604,0.2166,0.22,0.015,0.0596,0.2016,SKIP,SKIP,True,2026-07-13T10:33:44.777131
4,baseline,obj_plate,0.1604,0.2166,0.22,0.015,0.0596,0.2016,SKIP,SKIP,True,2026-07-13T10:33:49.971223
5,baseline,obj_plate,0.1604,0.2166,0.22,0.015,0.0596,0.2016,SKIP,SKIP,True,2026-07-13T10:33:55.752965
6,baseline,obj_plate,0.1604,0.2166,0.22,0.015,0.0596,0.2016,SKIP,SKIP,True,2026-07-13T10:34:06.288363
7,baseline,obj_plate,0.1604,0.2166,0.22,0.015,0.0596,0.2016,SKIP,SKIP,True,2026-07-13T10:34:17.372286
8,baseline,obj_plate,0.1604,0.2166,0.22,0.015,0.0596,0.2016,SKIP,SKIP,True,2026-07-13T10:34:22.672074
9,baseline,obj_plate,0.1604,0.2166,0.22,0.015,0.0596,0.2016,SKIP,SKIP,True,2026-07-13T10:34:28.236872
11,baseline,obj_plate,0.5246,0.5966,0.22,0.015,0.3046,0.5816,SKIP,SKIP,True,2026-07-13T10:34:49.062850
12,baseline,obj_plate,0.5246,0.5966,0.22,0.015,0.3046,0.5816,SKIP,SKIP,True,2026-07-13T10:34:54.721839
13,baseline,obj_plate,0.1604,0.2166,0.22,0.015,0.0596,0.2016,SKIP,SKIP,True,2026-07-13T10:35:00.079388
14,baseline,obj_plate,0.5246,0.5966,0.22,0.015,0.3046,0.5816,SKIP,SKIP,True,2026-07-13T10:35:05.333950
15,baseline,obj_plate,0.5246,0.5966,0.22,0.015,0.3046,0.5816,SKIP,SKIP,True,2026-07-13T10:35:10.843411
16,baseline,obj_plate,0.5246,0.5966,0.22,0.015,0.3046,0.5816,SKIP,SKIP,True,2026-07-13T10:35:16.257234
17,baseline,obj_plate,0.5246,0.5966,0.22,0.015,0.3046,0.5816,SKIP,SKIP,True,2026-07-13T10:35:21.647314
18,baseline,obj_plate,0.5246,0.5966,0.22,0.015,0.3046,0.5816,SKIP,SKIP,True,2026-07-13T10:35:32.418165
19,baseline,obj_plate,0.5246,0.5966,0.22,0.015,0.3046,0.5816,SKIP,SKIP,True,2026-07-13T10:35:37.592938
20,baseline,obj_plate,0.1604,0.2166,0.22,0.015,0.0596,0.2016,SKIP,SKIP,True,2026-07-13T10:35:43.074979
1,baseline,obj_fork,0.0999,0.579,0.19,0.005,0.0901,0.574,SKIP,SKIP,True,2026-07-13T10:35:59.183223
2,baseline,obj_fork,0.0597,0.1061,0.19,0.005,0.1303,0.1011,GRASP,SKIP,False,2026-07-13T10:36:04.863903
3,baseline,obj_fork,0.0999,0.579,0.19,0.005,0.0901,0.574,SKIP,SKIP,True,2026-07-13T10:36:10.460706
4,baseline,obj_fork,0.0999,0.579,0.19,0.005,0.0901,0.574,SKIP,SKIP,True,2026-07-13T10:36:15.976806
5,baseline,obj_fork,0.0597,0.1061,0.19,0.005,0.1303,0.1011,GRASP,SKIP,False,2026-07-13T10:36:21.585828
7,baseline,obj_fork,0.0597,0.1061,0.19,0.005,0.1303,0.1011,GRASP,SKIP,False,2026-07-13T10:36:37.564066
8,baseline,obj_fork,0.0999,0.579,0.19,0.005,0.0901,0.574,SKIP,SKIP,True,2026-07-13T10:36:48.184378
