trial,condition,object_name,estimated_width_m,estimated_height_m,gt_width_m,gt_height_m,width_error_m,height_error_m,decision,gt_decision,correct,timestamp
1,proposed,obj_plate,0.3367,0.3834,0.22,0.015,0.1167,0.3684,SKIP,SKIP,True,2026-07-14T15:15:45.165449
2,proposed,obj_plate,0.2587,0.2652,0.22,0.015,0.0387,0.2502,SKIP,SKIP,True,2026-07-14T15:15:49.240054
3,proposed,obj_plate,0.3367,0.3834,0.22,0.015,0.1167,0.3684,SKIP,SKIP,True,2026-07-14T15:15:56.995742
4,proposed,obj_plate,0.2587,0.2652,0.22,0.015,0.0387,0.2502,SKIP,SKIP,True,2026-07-14T15:16:01.657496
5,proposed,obj_plate,0.2587,0.2652,0.22,0.015,0.0387,0.2502,SKIP,SKIP,True,2026-07-14T15:16:06.073295
6,proposed,obj_plate,0.2587,0.2652,0.22,0.015,0.0387,0.2502,SKIP,SKIP,True,2026-07-14T15:16:10.265816
7,proposed,obj_plate,0.2587,0.2652,0.22,0.015,0.0387,0.2502,SKIP,SKIP,True,2026-07-14T15:16:15.160654
8,proposed,obj_plate,0.3367,0.3834,0.22,0.015,0.1167,0.3684,SKIP,SKIP,True,2026-07-14T15:16:19.300147
9,proposed,obj_plate,0.2587,0.2652,0.22,0.015,0.0387,0.2502,SKIP,SKIP,True,2026-07-14T15:16:27.709980
10,proposed,obj_plate,0.3367,0.3834,0.22,0.015,0.1167,0.3684,SKIP,SKIP,True,2026-07-14T15:16:40.834672
11,proposed,obj_plate,0.2587,0.2652,0.22,0.015,0.0387,0.2502,SKIP,SKIP,True,2026-07-14T15:16:49.947128
12,proposed,obj_plate,0.2587,0.2652,0.22,0.015,0.0387,0.2502,SKIP,SKIP,True,2026-07-14T15:16:54.317894
13,proposed,obj_plate,0.2587,0.2652,0.22,0.015,0.0387,0.2502,SKIP,SKIP,True,2026-07-14T15:17:03.035266
14,proposed,obj_plate,0.2587,0.2652,0.22,0.015,0.0387,0.2502,SKIP,SKIP,True,2026-07-14T15:17:11.343939
15,proposed,obj_plate,0.2587,0.2652,0.22,0.015,0.0387,0.2502,SKIP,SKIP,True,2026-07-14T15:17:19.890928
16,proposed,obj_plate,0.3367,0.3834,0.22,0.015,0.1167,0.3684,SKIP,SKIP,True,2026-07-14T15:17:24.032641
17,proposed,obj_plate,0.2587,0.2652,0.22,0.015,0.0387,0.2502,SKIP,SKIP,True,2026-07-14T15:17:28.496182
18,proposed,obj_plate,0.3367,0.3834,0.22,0.015,0.1167,0.3684,SKIP,SKIP,True,2026-07-14T15:17:37.030050
19,proposed,obj_plate,0.3367,0.3834,0.22,0.015,0.1167,0.3684,SKIP,SKIP,True,2026-07-14T15:17:41.205129
20,proposed,obj_plate,0.2587,0.2652,0.22,0.015,0.0387,0.2502,SKIP,SKIP,True,2026-07-14T15:17:49.856075
1,proposed,obj_fork,0.0298,0.2445,0.19,0.005,0.1602,0.2395,SKIP,SKIP,True,2026-07-14T15:18:06.847809
2,proposed,obj_fork,0.1209,0.4066,0.19,0.005,0.0691,0.4016,SKIP,SKIP,True,2026-07-14T15:18:11.026956
3,proposed,obj_fork,0.1209,0.4066,0.19,0.005,0.0691,0.4016,SKIP,SKIP,True,2026-07-14T15:18:15.332522
4,proposed,obj_fork,0.0298,0.2445,0.19,0.005,0.1602,0.2395,SKIP,SKIP,True,2026-07-14T15:18:28.680516
5,proposed,obj_fork,0.1209,0.4066,0.19,0.005,0.0691,0.4016,SKIP,SKIP,True,2026-07-14T15:18:41.676397
6,proposed,obj_fork,0.1209,0.4066,0.19,0.005,0.0691,0.4016,SKIP,SKIP,True,2026-07-14T15:18:46.307389
7,proposed,obj_fork,0.0298,0.2445,0.19,0.005,0.1602,0.2395,SKIP,SKIP,True,2026-07-14T15:18:51.211070
8,proposed,obj_fork,0.0298,0.2445,0.19,0.005,0.1602,0.2395,SKIP,SKIP,True,2026-07-14T15:19:00.288921
