trial,condition,object_name,estimated_width_m,estimated_height_m,gt_width_m,gt_height_m,width_error_m,height_error_m,decision,gt_decision,correct,timestamp
1,baseline,obj_bottle,0.2179,2.4109,0.06,0.2,0.1579,2.2109,SKIP,SKIP,True,2026-07-10T15:04:05.326298
2,baseline,obj_bottle,0.2179,2.4109,0.06,0.2,0.1579,2.2109,SKIP,SKIP,True,2026-07-10T15:04:07.639689
3,baseline,obj_bottle,0.2179,2.4109,0.06,0.2,0.1579,2.2109,SKIP,SKIP,True,2026-07-10T15:04:13.114961
4,baseline,obj_bottle,0.2179,2.4109,0.06,0.2,0.1579,2.2109,SKIP,SKIP,True,2026-07-10T15:04:21.720300
5,baseline,obj_bottle,0.2179,2.4109,0.06,0.2,0.1579,2.2109,SKIP,SKIP,True,2026-07-10T15:04:24.710068
6,baseline,obj_bottle,0.2179,2.4109,0.06,0.2,0.1579,2.2109,SKIP,SKIP,True,2026-07-10T15:04:27.061005
7,baseline,obj_bottle,0.2179,2.4109,0.06,0.2,0.1579,2.2109,SKIP,SKIP,True,2026-07-10T15:04:32.436068
8,baseline,obj_bottle,0.2179,2.4109,0.06,0.2,0.1579,2.2109,SKIP,SKIP,True,2026-07-10T15:04:34.777878
9,baseline,obj_bottle,0.2179,2.4109,0.06,0.2,0.1579,2.2109,SKIP,SKIP,True,2026-07-10T15:04:37.670262
10,baseline,obj_bottle,0.2179,2.4109,0.06,0.2,0.1579,2.2109,SKIP,SKIP,True,2026-07-10T15:04:41.780506
11,baseline,obj_bottle,0.2179,2.4109,0.06,0.2,0.1579,2.2109,SKIP,SKIP,True,2026-07-10T15:04:44.201935
12,baseline,obj_bottle,0.2179,2.4109,0.06,0.2,0.1579,2.2109,SKIP,SKIP,True,2026-07-10T15:04:46.728302
13,baseline,obj_bottle,0.2179,2.4109,0.06,0.2,0.1579,2.2109,SKIP,SKIP,True,2026-07-10T15:04:49.211718
14,baseline,obj_bottle,0.2179,2.4109,0.06,0.2,0.1579,2.2109,SKIP,SKIP,True,2026-07-10T15:04:52.179106
15,baseline,obj_bottle,0.2179,2.4109,0.06,0.2,0.1579,2.2109,SKIP,SKIP,True,2026-07-10T15:04:58.607665
16,baseline,obj_bottle,0.2179,2.4109,0.06,0.2,0.1579,2.2109,SKIP,SKIP,True,2026-07-10T15:05:01.145227
17,baseline,obj_bottle,0.2179,2.4109,0.06,0.2,0.1579,2.2109,SKIP,SKIP,True,2026-07-10T15:05:06.929286
18,baseline,obj_bottle,0.2179,2.4109,0.06,0.2,0.1579,2.2109,SKIP,SKIP,True,2026-07-10T15:05:10.292501
19,baseline,obj_bottle,0.2179,2.4109,0.06,0.2,0.1579,2.2109,SKIP,SKIP,True,2026-07-10T15:05:12.743322
20,baseline,obj_bottle,0.2179,2.4109,0.06,0.2,0.1579,2.2109,SKIP,SKIP,True,2026-07-10T15:05:17.327276
1,baseline,obj_mug,0.2037,1.8991,0.07,0.1,0.1337,1.7991,SKIP,GRASP,False,2026-07-10T15:05:22.880241
2,baseline,obj_mug,0.2037,1.8991,0.07,0.1,0.1337,1.7991,SKIP,GRASP,False,2026-07-10T15:05:25.948660
3,baseline,obj_mug,0.2037,1.8991,0.07,0.1,0.1337,1.7991,SKIP,GRASP,False,2026-07-10T15:05:28.856986
4,baseline,obj_mug,0.2037,1.8991,0.07,0.1,0.1337,1.7991,SKIP,GRASP,False,2026-07-10T15:05:32.284705
5,baseline,obj_mug,0.2037,1.8991,0.07,0.1,0.1337,1.7991,SKIP,GRASP,False,2026-07-10T15:05:38.074322
6,baseline,obj_mug,0.2037,1.8991,0.07,0.1,0.1337,1.7991,SKIP,GRASP,False,2026-07-10T15:05:44.026848
7,baseline,obj_mug,0.2037,1.8991,0.07,0.1,0.1337,1.7991,SKIP,GRASP,False,2026-07-10T15:05:46.102973
8,baseline,obj_mug,0.2037,1.8991,0.07,0.1,0.1337,1.7991,SKIP,GRASP,False,2026-07-10T15:05:48.418528
9,baseline,obj_mug,0.2037,1.8991,0.07,0.1,0.1337,1.7991,SKIP,GRASP,False,2026-07-10T15:05:50.780145
10,baseline,obj_mug,0.2037,1.8991,0.07,0.1,0.1337,1.7991,SKIP,GRASP,False,2026-07-10T15:05:55.889371
11,baseline,obj_mug,0.2037,1.8991,0.07,0.1,0.1337,1.7991,SKIP,GRASP,False,2026-07-10T15:05:58.693174
12,baseline,obj_mug,0.2037,1.8991,0.07,0.1,0.1337,1.7991,SKIP,GRASP,False,2026-07-10T15:06:01.562766
13,baseline,obj_mug,0.2037,1.8991,0.07,0.1,0.1337,1.7991,SKIP,GRASP,False,2026-07-10T15:06:03.923752
14,baseline,obj_mug,0.2037,1.8991,0.07,0.1,0.1337,1.7991,SKIP,GRASP,False,2026-07-10T15:06:06.314116
15,baseline,obj_mug,0.2037,1.8991,0.07,0.1,0.1337,1.7991,SKIP,GRASP,False,2026-07-10T15:06:08.799471
16,baseline,obj_mug,0.2037,1.8991,0.07,0.1,0.1337,1.7991,SKIP,GRASP,False,2026-07-10T15:06:10.946067
17,baseline,obj_mug,0.2037,1.8991,0.07,0.1,0.1337,1.7991,SKIP,GRASP,False,2026-07-10T15:06:13.467394
18,baseline,obj_mug,0.2037,1.8991,0.07,0.1,0.1337,1.7991,SKIP,GRASP,False,2026-07-10T15:06:15.671323
19,baseline,obj_mug,0.2037,1.8991,0.07,0.1,0.1337,1.7991,SKIP,GRASP,False,2026-07-10T15:06:18.441735
20,baseline,obj_mug,0.2037,1.8991,0.07,0.1,0.1337,1.7991,SKIP,GRASP,False,2026-07-10T15:06:21.452348
1,baseline,obj_bowl,0.1799,0.6775,0.1,0.1,0.0799,0.5775,SKIP,SKIP,True,2026-07-10T15:06:32.396857
2,baseline,obj_bowl,0.1799,0.6775,0.1,0.1,0.0799,0.5775,SKIP,SKIP,True,2026-07-10T15:06:34.759234
3,baseline,obj_bowl,0.1799,0.6775,0.1,0.1,0.0799,0.5775,SKIP,SKIP,True,2026-07-10T15:06:38.166995
4,baseline,obj_bowl,0.1799,0.6775,0.1,0.1,0.0799,0.5775,SKIP,SKIP,True,2026-07-10T15:06:44.907176
5,baseline,obj_bowl,0.1799,0.6775,0.1,0.1,0.0799,0.5775,SKIP,SKIP,True,2026-07-10T15:06:47.375673
6,baseline,obj_bowl,0.1799,0.6775,0.1,0.1,0.0799,0.5775,SKIP,SKIP,True,2026-07-10T15:06:50.152325
7,baseline,obj_bowl,0.1799,0.6775,0.1,0.1,0.0799,0.5775,SKIP,SKIP,True,2026-07-10T15:06:56.940424
8,baseline,obj_bowl,0.1799,0.6775,0.1,0.1,0.0799,0.5775,SKIP,SKIP,True,2026-07-10T15:06:59.761428
9,baseline,obj_bowl,0.1799,0.6775,0.1,0.1,0.0799,0.5775,SKIP,SKIP,True,2026-07-10T15:07:01.836972
10,baseline,obj_bowl,0.1799,0.6775,0.1,0.1,0.0799,0.5775,SKIP,SKIP,True,2026-07-10T15:07:04.691248
11,baseline,obj_bowl,0.1799,0.6775,0.1,0.1,0.0799,0.5775,SKIP,SKIP,True,2026-07-10T15:07:10.876756
12,baseline,obj_bowl,0.1799,0.6775,0.1,0.1,0.0799,0.5775,SKIP,SKIP,True,2026-07-10T15:07:14.224894
13,baseline,obj_bowl,0.1799,0.6775,0.1,0.1,0.0799,0.5775,SKIP,SKIP,True,2026-07-10T15:07:17.417506
14,baseline,obj_bowl,0.1799,0.6775,0.1,0.1,0.0799,0.5775,SKIP,SKIP,True,2026-07-10T15:07:20.272671
15,baseline,obj_bowl,0.1799,0.6775,0.1,0.1,0.0799,0.5775,SKIP,SKIP,True,2026-07-10T15:07:23.023054
16,baseline,obj_bowl,0.1799,0.6775,0.1,0.1,0.0799,0.5775,SKIP,SKIP,True,2026-07-10T15:07:31.474920
17,baseline,obj_bowl,0.1799,0.6775,0.1,0.1,0.0799,0.5775,SKIP,SKIP,True,2026-07-10T15:07:37.138168
18,baseline,obj_bowl,0.1799,0.6775,0.1,0.1,0.0799,0.5775,SKIP,SKIP,True,2026-07-10T15:07:39.839202
19,baseline,obj_bowl,0.1799,0.6775,0.1,0.1,0.0799,0.5775,SKIP,SKIP,True,2026-07-10T15:07:43.448753
20,baseline,obj_bowl,0.1799,0.6775,0.1,0.1,0.0799,0.5775,SKIP,SKIP,True,2026-07-10T15:07:46.374420
1,baseline,obj_apple,0.1057,0.6002,0.07,0.07,0.0357,0.5302,SKIP,GRASP,False,2026-07-10T15:07:51.533730
2,baseline,obj_apple,0.1057,0.6002,0.07,0.07,0.0357,0.5302,SKIP,GRASP,False,2026-07-10T15:07:55.464435
3,baseline,obj_apple,0.1057,0.6002,0.07,0.07,0.0357,0.5302,SKIP,GRASP,False,2026-07-10T15:07:57.958632
4,baseline,obj_apple,0.1057,0.6002,0.07,0.07,0.0357,0.5302,SKIP,GRASP,False,2026-07-10T15:08:03.503724
5,baseline,obj_apple,0.1057,0.6002,0.07,0.07,0.0357,0.5302,SKIP,GRASP,False,2026-07-10T15:08:10.151193
6,baseline,obj_apple,0.1057,0.6002,0.07,0.07,0.0357,0.5302,SKIP,GRASP,False,2026-07-10T15:08:12.758445
7,baseline,obj_apple,0.1057,0.6002,0.07,0.07,0.0357,0.5302,SKIP,GRASP,False,2026-07-10T15:08:16.447950
8,baseline,obj_apple,0.1057,0.6002,0.07,0.07,0.0357,0.5302,SKIP,GRASP,False,2026-07-10T15:08:19.360455
9,baseline,obj_apple,0.1057,0.6002,0.07,0.07,0.0357,0.5302,SKIP,GRASP,False,2026-07-10T15:08:25.610661
10,baseline,obj_apple,0.1057,0.6002,0.07,0.07,0.0357,0.5302,SKIP,GRASP,False,2026-07-10T15:08:28.820737
11,baseline,obj_apple,0.1057,0.6002,0.07,0.07,0.0357,0.5302,SKIP,GRASP,False,2026-07-10T15:08:31.380019
12,baseline,obj_apple,0.1057,0.6002,0.07,0.07,0.0357,0.5302,SKIP,GRASP,False,2026-07-10T15:08:33.850624
13,baseline,obj_apple,0.1057,0.6002,0.07,0.07,0.0357,0.5302,SKIP,GRASP,False,2026-07-10T15:08:36.938435
14,baseline,obj_apple,0.1057,0.6002,0.07,0.07,0.0357,0.5302,SKIP,GRASP,False,2026-07-10T15:08:41.857609
15,baseline,obj_apple,0.1057,0.6002,0.07,0.07,0.0357,0.5302,SKIP,GRASP,False,2026-07-10T15:08:47.797801
16,baseline,obj_apple,0.1057,0.6002,0.07,0.07,0.0357,0.5302,SKIP,GRASP,False,2026-07-10T15:08:50.591405
17,baseline,obj_apple,0.1057,0.6002,0.07,0.07,0.0357,0.5302,SKIP,GRASP,False,2026-07-10T15:08:58.488700
18,baseline,obj_apple,0.1057,0.6002,0.07,0.07,0.0357,0.5302,SKIP,GRASP,False,2026-07-10T15:09:01.442737
19,baseline,obj_apple,0.1057,0.6002,0.07,0.07,0.0357,0.5302,SKIP,GRASP,False,2026-07-10T15:09:04.692479
20,baseline,obj_apple,0.1057,0.6002,0.07,0.07,0.0357,0.5302,SKIP,GRASP,False,2026-07-10T15:09:10.286862
1,baseline,obj_spoon,0.0944,0.1892,0.02,0.01,0.0744,0.1792,SKIP,GRASP,False,2026-07-10T15:09:15.732684
2,baseline,obj_spoon,0.0944,0.1892,0.02,0.01,0.0744,0.1792,SKIP,GRASP,False,2026-07-10T15:09:29.693154
3,baseline,obj_spoon,0.0944,0.1892,0.02,0.01,0.0744,0.1792,SKIP,GRASP,False,2026-07-10T15:09:33.232265
4,baseline,obj_spoon,0.0944,0.1892,0.02,0.01,0.0744,0.1792,SKIP,GRASP,False,2026-07-10T15:09:36.193342
5,baseline,obj_spoon,0.0944,0.1892,0.02,0.01,0.0744,0.1792,SKIP,GRASP,False,2026-07-10T15:09:39.468932
6,baseline,obj_spoon,0.0944,0.1892,0.02,0.01,0.0744,0.1792,SKIP,GRASP,False,2026-07-10T15:09:46.780637
7,baseline,obj_spoon,0.0944,0.1892,0.02,0.01,0.0744,0.1792,SKIP,GRASP,False,2026-07-10T15:09:49.442496
8,baseline,obj_spoon,0.0944,0.1892,0.02,0.01,0.0744,0.1792,SKIP,GRASP,False,2026-07-10T15:09:51.886819
9,baseline,obj_spoon,0.0944,0.1892,0.02,0.01,0.0744,0.1792,SKIP,GRASP,False,2026-07-10T15:09:57.187164
10,baseline,obj_spoon,0.0944,0.1892,0.02,0.01,0.0744,0.1792,SKIP,GRASP,False,2026-07-10T15:10:09.968349
11,baseline,obj_spoon,0.0944,0.1892,0.02,0.01,0.0744,0.1792,SKIP,GRASP,False,2026-07-10T15:10:16.889849
12,baseline,obj_spoon,0.0944,0.1892,0.02,0.01,0.0744,0.1792,SKIP,GRASP,False,2026-07-10T15:10:22.009301
13,baseline,obj_spoon,0.0944,0.1892,0.02,0.01,0.0744,0.1792,SKIP,GRASP,False,2026-07-10T15:10:24.814953
14,baseline,obj_spoon,0.0944,0.1892,0.02,0.01,0.0744,0.1792,SKIP,GRASP,False,2026-07-10T15:10:34.033217
