trial,condition,object_name,estimated_width_m,estimated_height_m,gt_width_m,gt_height_m,width_error_m,height_error_m,decision,gt_decision,correct,timestamp
2,baseline,obj_cereal_box,0.2194,0.7484,0.08,0.28,0.1394,0.4684,SKIP,SKIP,True,2026-07-13T12:03:03.509890
3,baseline,obj_cereal_box,0.2194,0.7484,0.08,0.28,0.1394,0.4684,SKIP,SKIP,True,2026-07-13T12:03:11.077338
4,baseline,obj_cereal_box,0.7525,1.9748,0.08,0.28,0.6725,1.6948,SKIP,SKIP,True,2026-07-13T12:03:25.773245
5,baseline,obj_cereal_box,0.2194,0.7484,0.08,0.28,0.1394,0.4684,SKIP,SKIP,True,2026-07-13T12:03:33.078663
6,baseline,obj_cereal_box,0.2194,0.7484,0.08,0.28,0.1394,0.4684,SKIP,SKIP,True,2026-07-13T12:03:40.432116
7,baseline,obj_cereal_box,0.1421,0.6459,0.08,0.28,0.0621,0.3659,SKIP,SKIP,True,2026-07-13T12:03:55.152556
8,baseline,obj_cereal_box,0.2194,0.7484,0.08,0.28,0.1394,0.4684,SKIP,SKIP,True,2026-07-13T12:04:02.695622
9,baseline,obj_cereal_box,0.1421,0.6459,0.08,0.28,0.0621,0.3659,SKIP,SKIP,True,2026-07-13T12:04:17.466514
10,baseline,obj_cereal_box,0.1421,0.6459,0.08,0.28,0.0621,0.3659,SKIP,SKIP,True,2026-07-13T12:04:25.177335
11,baseline,obj_cereal_box,0.2194,0.7484,0.08,0.28,0.1394,0.4684,SKIP,SKIP,True,2026-07-13T12:04:40.250401
12,baseline,obj_cereal_box,0.1421,0.6459,0.08,0.28,0.0621,0.3659,SKIP,SKIP,True,2026-07-13T12:04:47.616357
13,baseline,obj_cereal_box,0.2194,0.7484,0.08,0.28,0.1394,0.4684,SKIP,SKIP,True,2026-07-13T12:05:02.370290
14,baseline,obj_cereal_box,0.7525,1.9748,0.08,0.28,0.6725,1.6948,SKIP,SKIP,True,2026-07-13T12:05:09.595817
15,baseline,obj_cereal_box,0.1421,0.6459,0.08,0.28,0.0621,0.3659,SKIP,SKIP,True,2026-07-13T12:05:24.323187
16,baseline,obj_cereal_box,0.7525,1.9748,0.08,0.28,0.6725,1.6948,SKIP,SKIP,True,2026-07-13T12:05:31.872614
17,baseline,obj_cereal_box,0.1421,0.6459,0.08,0.28,0.0621,0.3659,SKIP,SKIP,True,2026-07-13T12:05:38.936313
18,baseline,obj_cereal_box,0.1421,0.6459,0.08,0.28,0.0621,0.3659,SKIP,SKIP,True,2026-07-13T12:05:46.497073
19,baseline,obj_cereal_box,0.7525,1.9748,0.08,0.28,0.6725,1.6948,SKIP,SKIP,True,2026-07-13T12:06:01.892946
20,baseline,obj_cereal_box,0.2194,0.7484,0.08,0.28,0.1394,0.4684,SKIP,SKIP,True,2026-07-13T12:06:09.255068
1,baseline,obj_tissue_box,0.0483,0.0768,0.12,0.06,0.0717,0.0168,GRASP,SKIP,False,2026-07-13T12:06:31.133967
2,baseline,obj_tissue_box,0.0977,0.1635,0.12,0.06,0.0223,0.1035,SKIP,SKIP,True,2026-07-13T12:06:45.814547
3,baseline,obj_tissue_box,0.0977,0.1635,0.12,0.06,0.0223,0.1035,SKIP,SKIP,True,2026-07-13T12:07:00.089013
5,baseline,obj_tissue_box,0.0999,0.4048,0.12,0.06,0.0201,0.3448,SKIP,SKIP,True,2026-07-13T12:07:22.387592
6,baseline,obj_tissue_box,0.0999,0.4048,0.12,0.06,0.0201,0.3448,SKIP,SKIP,True,2026-07-13T12:07:29.999568
7,baseline,obj_tissue_box,0.0999,0.4048,0.12,0.06,0.0201,0.3448,SKIP,SKIP,True,2026-07-13T12:07:37.534505
8,baseline,obj_tissue_box,0.0999,0.4048,0.12,0.06,0.0201,0.3448,SKIP,SKIP,True,2026-07-13T12:07:44.789916
10,baseline,obj_tissue_box,0.0483,0.0768,0.12,0.06,0.0717,0.0168,GRASP,SKIP,False,2026-07-13T12:08:00.430703
11,baseline,obj_tissue_box,0.0483,0.0768,0.12,0.06,0.0717,0.0168,GRASP,SKIP,False,2026-07-13T12:08:07.888816
13,baseline,obj_tissue_box,0.0999,0.4048,0.12,0.06,0.0201,0.3448,SKIP,SKIP,True,2026-07-13T12:08:29.954727
14,baseline,obj_tissue_box,0.0483,0.0768,0.12,0.06,0.0717,0.0168,GRASP,SKIP,False,2026-07-13T12:08:37.194475
19,baseline,obj_tissue_box,0.0483,0.0768,0.12,0.06,0.0717,0.0168,GRASP,SKIP,False,2026-07-13T12:09:52.875385
20,baseline,obj_tissue_box,0.0483,0.0768,0.12,0.06,0.0717,0.0168,GRASP,SKIP,False,2026-07-13T12:10:07.850939
1,baseline,obj_storage_box,0.227,0.4663,0.22,0.14,0.007,0.3263,SKIP,SKIP,True,2026-07-13T12:10:22.465073
2,baseline,obj_storage_box,0.227,0.4663,0.22,0.14,0.007,0.3263,SKIP,SKIP,True,2026-07-13T12:10:29.640225
3,baseline,obj_storage_box,0.3406,2.8831,0.22,0.14,0.1206,2.7431,SKIP,SKIP,True,2026-07-13T12:10:44.561132
4,baseline,obj_storage_box,0.5389,0.9803,0.22,0.14,0.3189,0.8403,SKIP,SKIP,True,2026-07-13T12:10:51.878322
5,baseline,obj_storage_box,0.3406,2.8831,0.22,0.14,0.1206,2.7431,SKIP,SKIP,True,2026-07-13T12:11:06.885971
6,baseline,obj_storage_box,0.3406,2.8831,0.22,0.14,0.1206,2.7431,SKIP,SKIP,True,2026-07-13T12:11:13.987859
7,baseline,obj_storage_box,0.3406,2.8831,0.22,0.14,0.1206,2.7431,SKIP,SKIP,True,2026-07-13T12:11:21.584655
8,baseline,obj_storage_box,0.3406,2.8831,0.22,0.14,0.1206,2.7431,SKIP,SKIP,True,2026-07-13T12:11:29.043256
9,baseline,obj_storage_box,0.227,0.4663,0.22,0.14,0.007,0.3263,SKIP,SKIP,True,2026-07-13T12:11:36.644334
10,baseline,obj_storage_box,0.3406,2.8831,0.22,0.14,0.1206,2.7431,SKIP,SKIP,True,2026-07-13T12:11:43.862983
11,baseline,obj_storage_box,0.3406,2.8831,0.22,0.14,0.1206,2.7431,SKIP,SKIP,True,2026-07-13T12:11:51.555268
12,baseline,obj_storage_box,0.3406,2.8831,0.22,0.14,0.1206,2.7431,SKIP,SKIP,True,2026-07-13T12:11:58.886979
13,baseline,obj_storage_box,0.5389,0.9803,0.22,0.14,0.3189,0.8403,SKIP,SKIP,True,2026-07-13T12:12:06.726470
14,baseline,obj_storage_box,0.3406,2.8831,0.22,0.14,0.1206,2.7431,SKIP,SKIP,True,2026-07-13T12:12:21.734382
15,baseline,obj_storage_box,0.227,0.4663,0.22,0.14,0.007,0.3263,SKIP,SKIP,True,2026-07-13T12:12:28.947071
16,baseline,obj_storage_box,0.3406,2.8831,0.22,0.14,0.1206,2.7431,SKIP,SKIP,True,2026-07-13T12:12:36.647889
18,baseline,obj_storage_box,0.5389,0.9803,0.22,0.14,0.3189,0.8403,SKIP,SKIP,True,2026-07-13T12:13:06.002046
19,baseline,obj_storage_box,0.5389,0.9803,0.22,0.14,0.3189,0.8403,SKIP,SKIP,True,2026-07-13T12:13:13.662044
