trial,condition,object_name,estimated_width_m,estimated_height_m,gt_width_m,gt_height_m,width_error_m,height_error_m,decision,gt_decision,correct,timestamp
1,proposed,obj_bottle,0.1565,0.2633,0.06,0.2,0.0965,0.0633,SKIP,SKIP,True,2026-07-14T14:45:44.439205
2,proposed,obj_bottle,0.1565,0.2633,0.06,0.2,0.0965,0.0633,SKIP,SKIP,True,2026-07-14T14:45:47.987387
3,proposed,obj_bottle,0.1565,0.2633,0.06,0.2,0.0965,0.0633,SKIP,SKIP,True,2026-07-14T14:45:54.275292
4,proposed,obj_bottle,0.1565,0.2633,0.06,0.2,0.0965,0.0633,SKIP,SKIP,True,2026-07-14T14:45:57.147171
5,proposed,obj_bottle,0.1565,0.2633,0.06,0.2,0.0965,0.0633,SKIP,SKIP,True,2026-07-14T14:46:00.320490
6,proposed,obj_bottle,0.1565,0.2633,0.06,0.2,0.0965,0.0633,SKIP,SKIP,True,2026-07-14T14:46:06.467815
7,proposed,obj_bottle,0.1565,0.2633,0.06,0.2,0.0965,0.0633,SKIP,SKIP,True,2026-07-14T14:46:08.820135
8,proposed,obj_bottle,0.1565,0.2633,0.06,0.2,0.0965,0.0633,SKIP,SKIP,True,2026-07-14T14:46:12.011204
9,proposed,obj_bottle,0.1565,0.2633,0.06,0.2,0.0965,0.0633,SKIP,SKIP,True,2026-07-14T14:46:17.708268
10,proposed,obj_bottle,0.1565,0.2633,0.06,0.2,0.0965,0.0633,SKIP,SKIP,True,2026-07-14T14:46:20.957546
11,proposed,obj_bottle,0.1565,0.2633,0.06,0.2,0.0965,0.0633,SKIP,SKIP,True,2026-07-14T14:46:26.204062
12,proposed,obj_bottle,0.1565,0.2633,0.06,0.2,0.0965,0.0633,SKIP,SKIP,True,2026-07-14T14:46:41.582337
13,proposed,obj_bottle,0.1565,0.2633,0.06,0.2,0.0965,0.0633,SKIP,SKIP,True,2026-07-14T14:46:47.757466
14,proposed,obj_bottle,0.1565,0.2633,0.06,0.2,0.0965,0.0633,SKIP,SKIP,True,2026-07-14T14:46:54.228750
15,proposed,obj_bottle,0.1565,0.2633,0.06,0.2,0.0965,0.0633,SKIP,SKIP,True,2026-07-14T14:46:57.776808
16,proposed,obj_bottle,0.1565,0.2633,0.06,0.2,0.0965,0.0633,SKIP,SKIP,True,2026-07-14T14:47:01.011217
