trial,condition,object_name,estimated_width_m,estimated_height_m,gt_width_m,gt_height_m,width_error_m,height_error_m,decision,gt_decision,correct,timestamp
1,proposed,obj_plate,1.1931,1.3028,0.22,0.015,0.9731,1.2878,SKIP,SKIP,True,2026-07-13T11:15:27.098977
2,proposed,obj_plate,1.0594,1.0905,0.22,0.015,0.8394,1.0755,SKIP,SKIP,True,2026-07-13T11:15:32.144515
4,proposed,obj_plate,1.0594,1.0905,0.22,0.015,0.8394,1.0755,SKIP,SKIP,True,2026-07-13T11:15:57.972724
5,proposed,obj_plate,1.1931,1.3028,0.22,0.015,0.9731,1.2878,SKIP,SKIP,True,2026-07-13T11:16:03.024602
6,proposed,obj_plate,1.1931,1.3028,0.22,0.015,0.9731,1.2878,SKIP,SKIP,True,2026-07-13T11:16:08.233025
7,proposed,obj_plate,1.1931,1.3028,0.22,0.015,0.9731,1.2878,SKIP,SKIP,True,2026-07-13T11:16:13.544475
8,proposed,obj_plate,1.1931,1.3028,0.22,0.015,0.9731,1.2878,SKIP,SKIP,True,2026-07-13T11:16:28.997429
9,proposed,obj_plate,1.1931,1.3028,0.22,0.015,0.9731,1.2878,SKIP,SKIP,True,2026-07-13T11:16:34.011176
10,proposed,obj_plate,1.1931,1.3028,0.22,0.015,0.9731,1.2878,SKIP,SKIP,True,2026-07-13T11:16:44.595528
12,proposed,obj_plate,1.0594,1.0905,0.22,0.015,0.8394,1.0755,SKIP,SKIP,True,2026-07-13T11:17:00.378102
13,proposed,obj_plate,1.1931,1.3028,0.22,0.015,0.9731,1.2878,SKIP,SKIP,True,2026-07-13T11:17:05.614688
14,proposed,obj_plate,1.1931,1.3028,0.22,0.015,0.9731,1.2878,SKIP,SKIP,True,2026-07-13T11:17:10.529654
15,proposed,obj_plate,1.1931,1.3028,0.22,0.015,0.9731,1.2878,SKIP,SKIP,True,2026-07-13T11:17:16.164132
16,proposed,obj_plate,1.0594,1.0905,0.22,0.015,0.8394,1.0755,SKIP,SKIP,True,2026-07-13T11:17:26.881314
18,proposed,obj_plate,1.1931,1.3028,0.22,0.015,0.9731,1.2878,SKIP,SKIP,True,2026-07-13T11:17:47.248088
20,proposed,obj_plate,1.0594,1.0905,0.22,0.015,0.8394,1.0755,SKIP,SKIP,True,2026-07-13T11:18:03.165146
1,proposed,obj_fork,0.4898,1.4004,0.19,0.005,0.2998,1.3954,SKIP,SKIP,True,2026-07-13T11:18:29.795507
