trial,condition,object_name,estimated_width_m,estimated_height_m,gt_width_m,gt_height_m,width_error_m,height_error_m,decision,gt_decision,correct,timestamp
1,proposed,obj_cereal_box,0.5006,1.0065,0.08,0.28,0.4206,0.7265,SKIP,SKIP,True,2026-07-13T13:17:09.596931
3,proposed,obj_cereal_box,0.5006,1.0065,0.08,0.28,0.4206,0.7265,SKIP,SKIP,True,2026-07-13T13:17:38.614005
4,proposed,obj_cereal_box,0.9418,1.5019,0.08,0.28,0.8618,1.2219,SKIP,SKIP,True,2026-07-13T13:17:53.557230
5,proposed,obj_cereal_box,0.9418,1.5019,0.08,0.28,0.8618,1.2219,SKIP,SKIP,True,2026-07-13T13:18:00.939356
7,proposed,obj_cereal_box,0.5006,1.0065,0.08,0.28,0.4206,0.7265,SKIP,SKIP,True,2026-07-13T13:18:22.993563
9,proposed,obj_cereal_box,0.8204,1.6763,0.08,0.28,0.7404,1.3963,SKIP,SKIP,True,2026-07-13T13:18:52.272651
11,proposed,obj_cereal_box,0.5006,1.0065,0.08,0.28,0.4206,0.7265,SKIP,SKIP,True,2026-07-13T13:19:14.800967
12,proposed,obj_cereal_box,0.5006,1.0065,0.08,0.28,0.4206,0.7265,SKIP,SKIP,True,2026-07-13T13:19:29.886212
13,proposed,obj_cereal_box,0.8204,1.6763,0.08,0.28,0.7404,1.3963,SKIP,SKIP,True,2026-07-13T13:19:37.389300
14,proposed,obj_cereal_box,0.8204,1.6763,0.08,0.28,0.7404,1.3963,SKIP,SKIP,True,2026-07-13T13:19:44.910553
16,proposed,obj_cereal_box,0.8204,1.6763,0.08,0.28,0.7404,1.3963,SKIP,SKIP,True,2026-07-13T13:20:07.150755
17,proposed,obj_cereal_box,0.9418,1.5019,0.08,0.28,0.8618,1.2219,SKIP,SKIP,True,2026-07-13T13:20:14.412093
19,proposed,obj_cereal_box,0.5006,1.0065,0.08,0.28,0.4206,0.7265,SKIP,SKIP,True,2026-07-13T13:20:36.331380
1,proposed,obj_tissue_box,0.475,0.668,0.12,0.06,0.355,0.608,SKIP,SKIP,True,2026-07-13T13:21:13.085236
