trial,condition,object_name,estimated_width_m,estimated_height_m,gt_width_m,gt_height_m,width_error_m,height_error_m,decision,gt_decision,correct,timestamp
1,proposed,obj_cereal_box,0.2399,0.3016,0.08,0.28,0.1599,0.0216,SKIP,SKIP,True,2026-07-14T15:51:51.231711
2,proposed,obj_cereal_box,0.2399,0.3016,0.08,0.28,0.1599,0.0216,SKIP,SKIP,True,2026-07-14T15:51:55.564690
3,proposed,obj_cereal_box,0.1754,0.3785,0.08,0.28,0.0954,0.0985,SKIP,SKIP,True,2026-07-14T15:52:04.337299
4,proposed,obj_cereal_box,0.1754,0.3785,0.08,0.28,0.0954,0.0985,SKIP,SKIP,True,2026-07-14T15:52:08.565281
6,proposed,obj_cereal_box,0.2399,0.3016,0.08,0.28,0.1599,0.0216,SKIP,SKIP,True,2026-07-14T15:52:25.584578
7,proposed,obj_cereal_box,0.1754,0.3785,0.08,0.28,0.0954,0.0985,SKIP,SKIP,True,2026-07-14T15:52:33.884538
8,proposed,obj_cereal_box,0.2399,0.3016,0.08,0.28,0.1599,0.0216,SKIP,SKIP,True,2026-07-14T15:52:37.556411
9,proposed,obj_cereal_box,0.2399,0.3016,0.08,0.28,0.1599,0.0216,SKIP,SKIP,True,2026-07-14T15:52:42.096278
10,proposed,obj_cereal_box,0.2399,0.3016,0.08,0.28,0.1599,0.0216,SKIP,SKIP,True,2026-07-14T15:52:46.498242
11,proposed,obj_cereal_box,0.1754,0.3785,0.08,0.28,0.0954,0.0985,SKIP,SKIP,True,2026-07-14T15:52:50.362746
12,proposed,obj_cereal_box,0.1754,0.3785,0.08,0.28,0.0954,0.0985,SKIP,SKIP,True,2026-07-14T15:52:54.550343
13,proposed,obj_cereal_box,0.1754,0.3785,0.08,0.28,0.0954,0.0985,SKIP,SKIP,True,2026-07-14T15:52:58.296746
14,proposed,obj_cereal_box,0.1754,0.3785,0.08,0.28,0.0954,0.0985,SKIP,SKIP,True,2026-07-14T15:53:02.563384
15,proposed,obj_cereal_box,0.2399,0.3016,0.08,0.28,0.1599,0.0216,SKIP,SKIP,True,2026-07-14T15:53:06.663102
16,proposed,obj_cereal_box,0.2399,0.3016,0.08,0.28,0.1599,0.0216,SKIP,SKIP,True,2026-07-14T15:53:10.359785
17,proposed,obj_cereal_box,0.1754,0.3785,0.08,0.28,0.0954,0.0985,SKIP,SKIP,True,2026-07-14T15:53:18.706821
18,proposed,obj_cereal_box,0.2399,0.3016,0.08,0.28,0.1599,0.0216,SKIP,SKIP,True,2026-07-14T15:53:22.786039
19,proposed,obj_cereal_box,0.2399,0.3016,0.08,0.28,0.1599,0.0216,SKIP,SKIP,True,2026-07-14T15:53:31.395047
20,proposed,obj_cereal_box,0.2399,0.3016,0.08,0.28,0.1599,0.0216,SKIP,SKIP,True,2026-07-14T15:53:44.059432
1,proposed,obj_tissue_box,0.0998,0.1435,0.12,0.06,0.0202,0.0835,SKIP,SKIP,True,2026-07-14T15:54:00.794447
2,proposed,obj_tissue_box,0.0814,0.1142,0.12,0.06,0.0386,0.0542,SKIP,SKIP,True,2026-07-14T15:54:05.203180
3,proposed,obj_tissue_box,0.0998,0.1435,0.12,0.06,0.0202,0.0835,SKIP,SKIP,True,2026-07-14T15:54:09.342590
4,proposed,obj_tissue_box,0.0998,0.1435,0.12,0.06,0.0202,0.0835,SKIP,SKIP,True,2026-07-14T15:54:13.780879
5,proposed,obj_tissue_box,0.0998,0.1435,0.12,0.06,0.0202,0.0835,SKIP,SKIP,True,2026-07-14T15:54:21.427304
6,proposed,obj_tissue_box,0.0998,0.1435,0.12,0.06,0.0202,0.0835,SKIP,SKIP,True,2026-07-14T15:54:29.935081
7,proposed,obj_tissue_box,0.0814,0.1142,0.12,0.06,0.0386,0.0542,SKIP,SKIP,True,2026-07-14T15:54:33.766644
8,proposed,obj_tissue_box,0.0814,0.1142,0.12,0.06,0.0386,0.0542,SKIP,SKIP,True,2026-07-14T15:54:37.568519
9,proposed,obj_tissue_box,0.0814,0.1142,0.12,0.06,0.0386,0.0542,SKIP,SKIP,True,2026-07-14T15:54:41.781353
10,proposed,obj_tissue_box,0.0998,0.1435,0.12,0.06,0.0202,0.0835,SKIP,SKIP,True,2026-07-14T15:54:50.325901
11,proposed,obj_tissue_box,0.0814,0.1142,0.12,0.06,0.0386,0.0542,SKIP,SKIP,True,2026-07-14T15:54:54.366480
12,proposed,obj_tissue_box,0.0998,0.1435,0.12,0.06,0.0202,0.0835,SKIP,SKIP,True,2026-07-14T15:54:58.486801
13,proposed,obj_tissue_box,0.0814,0.1142,0.12,0.06,0.0386,0.0542,SKIP,SKIP,True,2026-07-14T15:55:02.218075
14,proposed,obj_tissue_box,0.0998,0.1435,0.12,0.06,0.0202,0.0835,SKIP,SKIP,True,2026-07-14T15:55:06.207468
15,proposed,obj_tissue_box,0.0814,0.1142,0.12,0.06,0.0386,0.0542,SKIP,SKIP,True,2026-07-14T15:55:10.360252
16,proposed,obj_tissue_box,0.0998,0.1435,0.12,0.06,0.0202,0.0835,SKIP,SKIP,True,2026-07-14T15:55:14.792111
17,proposed,obj_tissue_box,0.0814,0.1142,0.12,0.06,0.0386,0.0542,SKIP,SKIP,True,2026-07-14T15:55:19.032201
18,proposed,obj_tissue_box,0.0998,0.1435,0.12,0.06,0.0202,0.0835,SKIP,SKIP,True,2026-07-14T15:55:23.650892
19,proposed,obj_tissue_box,0.0814,0.1142,0.12,0.06,0.0386,0.0542,SKIP,SKIP,True,2026-07-14T15:55:28.192175
20,proposed,obj_tissue_box,0.0998,0.1435,0.12,0.06,0.0202,0.0835,SKIP,SKIP,True,2026-07-14T15:55:32.775511
1,proposed,obj_storage_box,0.2189,0.33,0.22,0.14,0.0011,0.19,SKIP,SKIP,True,2026-07-14T15:55:45.307586
2,proposed,obj_storage_box,0.2189,0.33,0.22,0.14,0.0011,0.19,SKIP,SKIP,True,2026-07-14T15:55:49.531932
3,proposed,obj_storage_box,0.2975,0.3972,0.22,0.14,0.0775,0.2572,SKIP,SKIP,True,2026-07-14T15:55:53.854592
5,proposed,obj_storage_box,0.2975,0.3972,0.22,0.14,0.0775,0.2572,SKIP,SKIP,True,2026-07-14T15:56:10.187835
6,proposed,obj_storage_box,0.2975,0.3972,0.22,0.14,0.0775,0.2572,SKIP,SKIP,True,2026-07-14T15:56:13.938613
7,proposed,obj_storage_box,0.2189,0.33,0.22,0.14,0.0011,0.19,SKIP,SKIP,True,2026-07-14T15:56:17.511100
8,proposed,obj_storage_box,0.2189,0.33,0.22,0.14,0.0011,0.19,SKIP,SKIP,True,2026-07-14T15:56:21.743923
